"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","1798","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","4","1","1.983711","0","4"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","0.000000","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","0.000000","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","14","14","1","2.015781","0","14"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","4","1","2.040097","0","4"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","0.000000","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","2.017059","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","17","17","1","2.144739","0","17"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","21","28","28","1","4.249472","0","28"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","21","24","24","1","0.000000","0","24"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","72","72","1","27.691160","0","72"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","4.379330","0","2"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","4","1","0.000000","0","4"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","21","28","28","1","5.453405","0","28"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","24","24","1","13.106464","0","24"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","4","4","1","0.000000","0","4"
"/DOWNSHOT_SDK/Refrences/Materials/FlatColor.FlatColor","21","36","36","1","26.361612","0","36"
"/DOWNSHOT_SDK/Refrences/Materials/NullMaterial.NullMaterial","21","40","40","1","22.087271","0","40"
"/DOWNSHOT_SDK/Refrences/Materials/Reflective.Reflective","21","36","36","1","6.665304","0","36"
"/DOWNSHOT_SDK/Refrences/Materials/WhiteAdditive.WhiteAdditive","21","2","2","1","0.000000","0","2"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","21","36","36","1","6.121064","0","36"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","21","28","28","1","3.219728","0","28"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","8","1","6.948147","0","8"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","0.000000","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","24","24","1","3.251951","0","24"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","0.000000","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","12","12","1","0.000000","0","12"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","0.000000","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","7","7","1","0.000000","0","7"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","36","36","1","6.075830","0","36"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","36","36","1","8.542154","0","36"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","120","120","2","17.231979","0","120"
"/Engine/Tutorial/SubEditors/TutorialAssets/Character/TutorialTPP_Mat.TutorialTPP_Mat","21","24","24","1","2.903940","0","24"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_2sidedLit.M_2sidedLit","21","14","14","1","5.194160","0","14"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_50percent_BaseColor.M_50percent_BaseColor","21","12","12","1","5.251336","0","12"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","26","26","6","8.473988","1","26"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","21","4","4","1","0.000000","0","4"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","21","12","12","1","0.000000","0","12"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","21","18","18","1","2.454429","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","21","18","18","1","2.310674","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","21","12","12","1","0.000000","0","12"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","21","12","12","1","0.000000","0","12"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","36","36","1","14.801677","0","36"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_50percent_D_S_R_SSS_O.M_50percent_D_S_R_SSS_O","21","12","12","1","2.485014","0","12"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_50percent_Test.M_50percent_Test","21","2","2","1","1.570584","0","2"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_BaseColor_Constant.M_BaseColor_Constant","21","12","12","1","2.438076","0","12"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","21","2","2","1","1.542496","0","2"
